Income,Age,Month_Customer,Total_Spending,children,clusters
58138.0,67,136.0,1617,0,Gold
46344.0,70,118.0,27,2,Platinum
71613.0,59,125.0,776,0,Silver
26646.0,40,119.0,53,1,Bronze
58293.0,43,120.0,422,1,Gold
62513.0,57,124.0,716,1,Gold
55635.0,53,134.0,590,1,Gold
33454.0,39,128.0,169,1,Platinum
30351.0,50,127.0,46,1,Bronze
5648.0,74,118.0,49,2,Bronze
7500.0,48,134.0,61,0,Bronze
63033.0,65,122.0,1102,0,Gold
59354.0,72,122.0,310,2,Gold
17323.0,37,135.0,46,0,Bronze
82800.0,78,134.0,1315,0,Silver
41850.0,44,133.0,96,2,Platinum
37760.0,78,137.0,317,0,Platinum
76995.0,75,130.0,1782,1,Silver
33812.0,39,134.0,133,1,Platinum
37040.0,42,137.0,316,0,Platinum
2447.0,45,132.0,1730,1,Bronze
58607.0,75,133.0,972,1,Gold
65324.0,70,120.0,544,1,Gold
40689.0,73,130.0,444,1,Platinum
18589.0,55,132.0,75,0,Bronze
53359.0,48,128.0,257,2,Gold
38360.0,35,128.0,131,1,Platinum
84618.0,59,122.0,1672,0,Silver
10979.0,35,116.0,30,0,Bronze
38620.0,61,128.0,318,0,Platinum
40548.0,54,135.0,120,1,Platinum
46610.0,72,135.0,302,2,Platinum
68657.0,78,131.0,1196,0,Gold
49389.0,73,125.0,65,2,Platinum
67353.0,54,121.0,913,1,Gold
23718.0,48,124.0,81,1,Bronze
42429.0,51,119.0,67,1,Platinum
48948.0,81,131.0,902,0,Platinum
80011.0,44,129.0,1395,1,Silver
20559.0,39,130.0,53,1,Bronze
21994.0,67,133.0,22,1,Bronze
7500.0,49,123.0,31,1,Bronze
79941.0,48,115.0,984,0,Silver
7500.0,28,134.0,122,0,Bronze
41728.0,56,128.0,55,1,Platinum
72550.0,70,134.0,1319,2,Silver
65486.0,67,116.0,507,1,Gold
79143.0,60,137.0,1693,0,Silver
35790.0,47,132.0,72,1,Platinum
82582.0,47,115.0,1617,0,Silver
66373.0,46,127.0,606,2,Gold
